Name,Halo Model,arXiv,Abbr,rhos [GeV/cm3],rs [kpc],alpha,beta,gamma,alphaE,rc
Leo V,HDZ,1408.0002,Leo V,0.8428032540729911,2.482561408589893,1.9059,5.886,0.5061,,
Sculptor,Bkrt,1309.2641,Scl,0.2909800893670036,1.416330498483652,,,,,
Sculptor,Enst,1309.2641,Scl,0.012293157476188,2.351547789628864,,,,0.1455604075691411,
Sculptor,HDZ,1408.0002,Scl,1.763299984745557,1.0661050486467798,1.6815,5.7956,0.8057,,
Sculptor,NFW,1309.2641,Scl,0.0779337025223674,1.8406554494667533,1.0,3.0,1.0,,
Sculptor,cNFW,1309.2641,Scl,0.1893219695056346,1.6434493831190005,,,,,0.6573797532476002
Segue 1,Bkrt,1309.2641,Seg I,1.6363012905864704,0.468991106352889,,,,,
Segue 1,Enst,1309.2641,Seg I,0.0436177686850836,1.0031221245388298,,,,0.1455604075691411,
Segue 1,HDZ,1408.0002,Seg I,3.336001242774373,1.809672554788791,1.9126,6.3932,0.7629,,
Segue 1,HDZ,1706.05481,Seg I,76.83091302659099,0.0851138038202376,0.973,3.94,1.15,,
Segue 1,NFW,1309.2641,Seg I,0.3817027681041682,0.6838683441065895,1.0,3.0,1.0,,
Segue 1,cNFW,1309.2641,Seg I,1.2223653026048311,0.519704326985472,,,,,0.2078817307941888
Segue 2,Bkrt,1309.2641,Seg II,1.458355060304651,0.5025330244418639,,,,,
Segue 2,Enst,1309.2641,Seg II,0.0362796797685891,1.0999015376256551,,,,0.1455604075691411,
Segue 2,HDZ,1408.0002,Seg II,0.2104389875857157,0.4805073110898136,1.8428,5.5916,0.7871,,
Segue 2,NFW,1309.2641,Seg II,0.3031972859775557,0.7673129024005187,1.0,3.0,1.0,,
Segue 2,cNFW,1309.2641,Seg II,0.99357581985737,0.5831178456582815,,,,,0.2332471382633126
Sextans,Bkrt,1309.2641,Sex,0.4941550897602648,1.002685205696186,,,,,
Sextans,Enst,1309.2641,Sex,0.0288179739869456,1.3531745127093633,,,,0.1455604075691411,
Sextans,HDZ,1408.0002,Sex,0.1553195786611056,6.202974559788141,1.9789,6.062,0.6304,,
Sextans,NFW,1309.2641,Sex,0.2299986619522841,0.9440011012647672,1.0,3.0,1.0,,
Sextans,cNFW,1309.2641,Sex,0.4755552863878741,0.9457064100387867,,,,,0.3782825640155147
Ursa Major I,Bkrt,1309.2641,UMa I,0.9201598361590746,0.6778983972485987,,,,,
Ursa Major I,Enst,1309.2641,UMa I,0.0275209515016917,1.3531745127093633,,,,0.1455604075691411,
Ursa Major I,HDZ,1408.0002,UMa I,0.5473009522276591,3.198158621666608,1.8697,6.2514,0.7088,,
Ursa Major I,HDZ,1706.05481,UMa I,146.73576960245404,0.0933254300796991,2.89,8.04,0.302,,
Ursa Major I,NFW,1309.2641,UMa I,0.2464480064606906,0.9015140529039234,1.0,3.0,1.0,,
Ursa Major I,cNFW,1309.2641,UMa I,0.6126338844944793,0.7866043299698301,,,,,0.314641731987932
Ursa Major II,Bkrt,1309.2641,UMa II,0.9201598361590746,0.6778983972485987,,,,,
Ursa Major II,Enst,1309.2641,UMa II,0.0281619968125796,1.3531745127093633,,,,0.1455604075691411,
Ursa Major II,HDZ,1408.0002,UMa II,2.793998726035209,4.282525917889196,1.8606,6.3682,0.5828,,
Ursa Major II,HDZ,1706.05481,UMa II,16.200782599294605,0.4168693834703355,2.36,3.28,0.0328,,
Ursa Major II,NFW,1309.2641,UMa II,0.2580627431752217,0.8809930877124397,1.0,3.0,1.0,,
Ursa Major II,cNFW,1309.2641,UMa II,0.6717396965666989,0.7512013032535471,,,,,0.3004805213014188
Ursa Minor,Bkrt,1309.2641,UMi,0.1878725252646879,1.8670872236490288,,,,,
Ursa Minor,Enst,1309.2641,UMi,0.0104631739375956,2.69993811078537,,,,0.1455604075691411,
Ursa Minor,HDZ,1408.0002,UMi,12.095566228457743,0.3940941607322858,1.6417,5.2935,0.7771,,
Ursa Minor,NFW,1309.2641,UMi,0.0604958118711859,2.2129545832786066,1.0,3.0,1.0,,
Ursa Minor,cNFW,1309.2641,UMi,0.1279973604504395,2.11717293103341,,,,,0.846869172413364
Willman I,Bkrt,1309.2641,Will I,1.4251588462989604,0.5142385223010123,,,,,
Willman I,Enst,1309.2641,Will I,0.0371247420693871,1.0999015376256551,,,,0.1455604075691411,
Willman I,NFW,1309.2641,Will I,0.2580627431752217,0.8809930877124397,1.0,3.0,1.0,,
Willman I,cNFW,1309.2641,Will I,1.0894342226886953,0.5568732193804508,,,,,0.2227492877521803
